year,shannon
2009,5.152255985784822
2010,5.232509099432862
2011,5.040739363123778
2012,5.307956474049524
2013,5.483000060959716
2014,5.4227329672606555
2015,5.286887204248076
2016,5.287455150000096
2017,5.54341243813223
2018,5.157925964147213
2019,5.361188097713658
2020,5.69747219457968
2021,5.279642670797916
2022,5.219602343514821
2023,5.399843263079997
2024,4.595903613573741
2025,4.73169274008385
